Computer timestamp [um],ImagePath,Top left Screen Xcoord Pixel,Top left Screen Ycoord Pixel,Top right Screen Xcoord Pixel,TopRightY_Pixels,BottomRightX_Pixels,BottomRightY_Pixels,BottomLeftX_Pixels,Bottom left Screen Ycoord Pixel,GazeX_ImagePixels,GazeY_ImagePixels
7470825209,E:\For LLM Study\15468-a-13-1.svs,20159.46426250572,16766.14051481356,44729.73026415915,16766.14051481356,44729.73026415915,31658.939925941162,20159.46426250572,31658.939925941162,31392.276226678146,21418.717229623715
7470934139,E:\For LLM Study\15468-a-13-1.svs,20159.46426250572,16766.14051481356,44729.73026415915,16766.14051481356,44729.73026415915,31658.939925941162,20159.46426250572,31658.939925941162,31240.939009659553,21412.268683222315
7471045256,E:\For LLM Study\15468-a-13-1.svs,20159.46426250572,16766.14051481356,44729.73026415915,16766.14051481356,44729.73026415915,31658.939925941162,20159.46426250572,31658.939925941162,27119.446073892046,19980.909230809488
7471152994,E:\For LLM Study\15468-a-13-1.svs,20159.46426250572,16766.14051481356,44729.73026415915,16766.14051481356,44729.73026415915,31658.939925941162,20159.46426250572,31658.939925941162,21374.674562140357,17578.73563989368
7471261100,E:\For LLM Study\15468-a-13-1.svs,20159.46426250572,16766.14051481356,44729.73026415915,16766.14051481356,44729.73026415915,31658.939925941162,20159.46426250572,31658.939925941162,20936.971637721173,17286.776330216737
7471370188,E:\For LLM Study\15468-a-13-1.svs,20159.46426250572,16766.14051481356,44729.73026415915,16766.14051481356,44729.73026415915,31658.939925941162,20159.46426250572,31658.939925941162,20377.71920825526,16883.200215821264
7471479168,E:\For LLM Study\15468-a-13-1.svs,20159.46426250572,16766.14051481356,44729.73026415915,16766.14051481356,44729.73026415915,31658.939925941162,20159.46426250572,31658.939925941162,19048.42609384876,16866.17625650317
7471591173,E:\For LLM Study\15468-a-13-1.svs,20159.46426250572,16766.14051481356,44729.73026415915,16766.14051481356,44729.73026415915,31658.939925941162,20159.46426250572,31658.939925941162,18210.70713949574,16904.267365248183
7471703181,E:\For LLM Study\15468-a-13-1.svs,20159.46426250572,16766.14051481356,44729.73026415915,16766.14051481356,44729.73026415915,31658.939925941162,20159.46426250572,31658.939925941162,17976.10568227901,16873.888702192155
7471814232,E:\For LLM Study\15468-a-13-1.svs,20159.46426250572,16766.14051481356,44729.73026415915,16766.14051481356,44729.73026415915,31658.939925941162,20159.46426250572,31658.939925941162,17441.916077734473,16906.579466747677
7471924314,E:\For LLM Study\15468-a-13-1.svs,20159.46426250572,16766.14051481356,44729.73026415915,16766.14051481356,44729.73026415915,31658.939925941162,20159.46426250572,31658.939925941162,17465.579322629077,16907.039681634753
7472034191,E:\For LLM Study\15468-a-13-1.svs,20159.46426250572,16766.14051481356,44729.73026415915,16766.14051481356,44729.73026415915,31658.939925941162,20159.46426250572,31658.939925941162,17422.347952779386,16915.579036408315
7472144241,E:\For LLM Study\15468-a-13-1.svs,20159.46426250572,16766.14051481356,44729.73026415915,16766.14051481356,44729.73026415915,31658.939925941162,20159.46426250572,31658.939925941162,17411.07128483765,16940.29893443834
7472254979,E:\For LLM Study\15468-a-13-1.svs,20159.46426250572,16766.14051481356,44729.73026415915,16766.14051481356,44729.73026415915,31658.939925941162,20159.46426250572,31658.939925941162,17433.984030573374,16898.950113715367
7472367098,E:\For LLM Study\15468-a-13-1.svs,20159.46426250572,16766.14051481356,44729.73026415915,16766.14051481356,44729.73026415915,31658.939925941162,20159.46426250572,31658.939925941162,17429.199750662203,16900.191838151623
7472478059,E:\For LLM Study\15468-a-13-1.svs,20159.46426250572,16766.14051481356,44729.73026415915,16766.14051481356,44729.73026415915,31658.939925941162,20159.46426250572,31658.939925941162,17392.621291851425,16950.9403019125
7472590193,E:\For LLM Study\15468-a-13-1.svs,20159.46426250572,16766.14051481356,44729.73026415915,16766.14051481356,44729.73026415915,31658.939925941162,20159.46426250572,31658.939925941162,17415.570805761152,16964.699602324497
7472702008,E:\For LLM Study\15468-a-13-1.svs,20159.46426250572,16766.14051481356,44729.73026415915,16766.14051481356,44729.73026415915,31658.939925941162,20159.46426250572,31658.939925941162,17500.31891605995,16975.93368824744
